departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación
NORTE DE SANTANDER,54,HACARÍ,"54,344",Rural,Vereda El Cobre,"2,010",2,Mayor de 18 años,,Fuerza pública,Herido,Masculino,8.329444444444444,-73.03888888888889,Accidente por MAP,"(8.329444444444444, -73.03888888888889)"
ANTIOQUIA,5,CÁCERES,"5,120",Rural,Cerro Blanco,"2,010",2,Mayor de 18 años,,Fuerza pública,Herido,Masculino,7.390833333333333,-75.14972222222222,Accidente por MAP,"(7.390833333333333, -75.14972222222222)"
HUILA,41,ALGECIRAS,"41,020",Urbana,,"2,008",12,Mayor de 18 años,,Civil,Herido,Femenino,2.522444,-75.313361,Accidente por MAP,"(2.522444, -75.313361)"
HUILA,41,BARAYA,"41,078",Rural,La Libertad,"2,010",2,Mayor de 18 años,,Fuerza pública,Herido,Masculino,3.117777777777778,-74.84416666666667,Accidente por MAP,"(3.117777777777778, -74.84416666666667)"
CORDOBA,23,TIERRALTA,"23,807",Rural,El Chispas,"2,010",2,Mayor de 18 años,,Fuerza pública,Herido,Masculino,7.907777777777778,-76.17194444444445,Accidente por MAP,"(7.907777777777778, -76.17194444444445)"
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,,"2,009",9,Mayor de 18 años,,Civil,Muerto,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)"
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,,"2,009",9,Mayor de 18 años,,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)"
ARAUCA,81,PUERTO RONDÓN,"81,591",Rural,Vereda Las Villas,"2,010",2,Mayor de 18 años,,Fuerza pública,Muerto,Masculino,6.509722222222222,-71.14166666666667,Accidente por MAP,"(6.509722222222222, -71.14166666666667)"
NARIÑO,52,SAMANIEGO,"52,678",Rural,Vereda San Diego,"2,010",2,Mayor de 18 años,,Fuerza pública,Herido,Masculino,1.5519444444444446,-77.76916666666666,Accidente por MAP,"(1.5519444444444446, -77.76916666666666)"
CAQUETA,18,MONTAÑITA,"18,410",Rural,Arenoso Bajo,"2,010",2,Mayor de 18 años,,Fuerza pública,Herido,Masculino,1.0422222222222222,-75.02055555555556,Accidente por MAP,"(1.0422222222222222, -75.02055555555556)"
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,,"2,009",9,Mayor de 18 años,,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)"
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,,"2,009",9,Mayor de 18 años,,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)"
ARAUCA,81,TAME,"81,794",Rural,Vereda Caño Limón,"2,009",2,Mayor de 18 años,Indigena,Civil,Herido,Masculino,6.461209,-71.730855,Accidente por MAP,"(6.461209, -71.730855)"
CAQUETA,18,MONTAÑITA,"18,410",Rural,Las Granjas,"2,010",2,Mayor de 18 años,,Fuerza pública,Herido,Masculino,1.1202777777777777,-75.06166666666667,Accidente por MAP,"(1.1202777777777777, -75.06166666666667)"
CORDOBA,23,TIERRALTA,"23,807",Rural,Casa Lizardo,"2,010",2,Mayor de 18 años,,Fuerza pública,Herido,Masculino,7.756388888888889,-76.30277777777778,Accidente por MAP,"(7.756388888888889, -76.30277777777778)"
GUAVIARE,95,MIRAFLORES,"95,200",Rural,Río Itilla,"2,010",2,Mayor de 18 años,,Fuerza pública,Herido,Masculino,1.4830555555555556,-71.57916666666667,Accidente por MAP,"(1.4830555555555556, -71.57916666666667)"
TOLIMA,73,RIOBLANCO,"73,616",Rural,El Quebradón,"2,010",2,Mayor de 18 años,,Fuerza pública,Herido,Masculino,3.5027777777777778,-75.76388888888889,Accidente por MAP,"(3.5027777777777778, -75.76388888888889)"
META,50,MAPIRIPÁN,"50,325",Rural,,"2,010",1,Menor de 18 años,Indigena,Civil,Herido,Femenino,2.892158,-72.133961,Accidente por MAP,"(2.892158, -72.133961)"
META,50,MAPIRIPÁN,"50,325",Rural,,"2,010",1,Menor de 18 años,,Civil,Herido,Masculino,2.892158,-72.133961,Accidente por MAP,"(2.892158, -72.133961)"
META,50,MAPIRIPÁN,"50,325",Rural,,"2,010",1,Mayor de 18 años,Indigena,Civil,Herido,Femenino,2.892158,-72.133961,Accidente por MAP,"(2.892158, -72.133961)"
META,50,MAPIRIPÁN,"50,325",Rural,,"2,010",1,Mayor de 18 años,Indigena,Civil,Herido,Masculino,2.892158,-72.133961,Accidente por MAP,"(2.892158, -72.133961)"
CORDOBA,23,TIERRALTA,"23,807",Rural,Vereda Lorenzo,"2,010",2,Mayor de 18 años,,Civil,Herido,Masculino,8.181547,-76.052223,Accidente por MAP,"(8.181547, -76.052223)"
META,50,MAPIRIPÁN,"50,325",Rural,,"2,010",1,Menor de 18 años,,Civil,Herido,Masculino,2.892158,-72.133961,Accidente por MAP,"(2.892158, -72.133961)"
CORDOBA,23,CIÉNAGA DE ORO,"23,189",Rural,Vereda Puente Seco,"2,009",3,Mayor de 18 años,Indigena,Civil,Herido,Masculino,8.867215,-75.618582,Accidente por MAP,"(8.867215, -75.618582)"
PUTUMAYO,86,PUERTO ASÍS,"86,568",Rural,Vereda El Porvenir,"2,010",2,Mayor de 18 años,,Civil,Herido,Masculino,0.502569,-76.49818,Accidente por MAP,"(0.502569, -76.49818)"
ARAUCA,81,TAME,"81,794",Rural,Vereda Galaxia,"2,010",1,Mayor de 18 años,,Civil,Herido,Masculino,6.461209,-71.730855,Accidente por MAP,"(6.461209, -71.730855)"
GUAVIARE,95,CALAMAR,"95,015",Rural,,"2,010",1,Mayor de 18 años,,Civil,Herido,Masculino,1.958453,-72.654146,Accidente por MAP,"(1.958453, -72.654146)"
ANTIOQUIA,5,SAN CARLOS,"5,649",Rural,Vereda Puerto Rico,"2,000",10,Mayor de 18 años,,Civil,Herido,Masculino,6.187566,-74.993636,Accidente por MAP,"(6.187566, -74.993636)"
GUAVIARE,95,MIRAFLORES,"95,200",Rural,Río Itilla,"2,010",2,Mayor de 18 años,,Fuerza pública,Herido,Masculino,1.4583333333333333,-72.5225,Accidente por MAP,"(1.4583333333333333, -72.5225)"
GUAVIARE,95,MIRAFLORES,"95,200",Rural,Río Itilla,"2,010",2,Mayor de 18 años,,Fuerza pública,Herido,Masculino,1.4583333333333333,-72.5225,Accidente por MAP,"(1.4583333333333333, -72.5225)"
GUAVIARE,95,MIRAFLORES,"95,200",Rural,Río Itilla,"2,010",2,Mayor de 18 años,,Fuerza pública,Herido,Masculino,1.4427777777777777,-72.52305555555556,Accidente por MAP,"(1.4427777777777777, -72.52305555555556)"
GUAVIARE,95,MIRAFLORES,"95,200",Rural,Río Itilla,"2,010",2,Mayor de 18 años,,Fuerza pública,Herido,Masculino,1.4427777777777777,-72.52305555555556,Accidente por MAP,"(1.4427777777777777, -72.52305555555556)"
NORTE DE SANTANDER,54,HACARÍ,"54,344",Rural,Vereda El Cobre,"2,010",2,Mayor de 18 años,,Fuerza pública,Herido,Masculino,8.35416617722222,-73.0772514972222,Accidente por MAP,"(8.35416617722222, -73.0772514972222)"
NORTE DE SANTANDER,54,HACARÍ,"54,344",Rural,Vereda El Cobre,"2,010",2,Mayor de 18 años,,Fuerza pública,Herido,Masculino,8.35416617722222,-73.0772514972222,Accidente por MAP,"(8.35416617722222, -73.0772514972222)"
HUILA,41,ALGECIRAS,"41,020",Rural,Vereda Termopilas,"2,010",2,Mayor de 18 años,,Fuerza pública,Herido,Masculino,2.591388888888889,-75.13888888888889,Accidente por MAP,"(2.591388888888889, -75.13888888888889)"
ANTIOQUIA,5,APARTADÓ,"5,045",Rural,Corregimiento San Jose,"2,008",8,Mayor de 18 años,,Fuerza pública,Herido,Masculino,7.904444444444445,-76.46194444444444,Accidente por MAP,"(7.904444444444445, -76.46194444444444)"
ANTIOQUIA,5,APARTADÓ,"5,045",Rural,Corregimiento San Jose,"2,008",8,Mayor de 18 años,,Fuerza pública,Herido,Masculino,7.904444444444445,-76.46194444444444,Accidente por MAP,"(7.904444444444445, -76.46194444444444)"
NORTE DE SANTANDER,54,LA PLAYA,"54,398",Rural,Vereda Mesa Rica-Ejer Location,"2,010",1,Mayor de 18 años,,Fuerza pública,Herido,Masculino,8.231111111111112,-73.08694444444444,Accidente por MAP,"(8.231111111111112, -73.08694444444444)"
NORTE DE SANTANDER,54,LA PLAYA,"54,398",Rural,Vereda Mesa Rica-Ejer Location,"2,003",5,Mayor de 18 años,,Fuerza pública,Muerto,Masculino,8.231111111111112,-73.08694444444444,Accidente por MAP,"(8.231111111111112, -73.08694444444444)"
PUTUMAYO,86,VALLE DEL GUAMUEZ,"86,865",Rural,Vereda El Tigre,"2,008",8,Mayor de 18 años,,Civil,Herido,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)"
PUTUMAYO,86,VALLE DEL GUAMUEZ,"86,865",Rural,Vereda El Tigre,"2,008",8,Mayor de 18 años,,Civil,Herido,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)"
PUTUMAYO,86,VALLE DEL GUAMUEZ,"86,865",Rural,Vereda El Tigre,"2,008",8,Mayor de 18 años,,Civil,Herido,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)"
PUTUMAYO,86,VALLE DEL GUAMUEZ,"86,865",Rural,Vereda El Tigre,"2,008",8,Mayor de 18 años,,Civil,Herido,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)"
PUTUMAYO,86,VALLE DEL GUAMUEZ,"86,865",Rural,Vereda El Tigre,"2,008",8,Mayor de 18 años,,Civil,Herido,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)"
CAQUETA,18,SOLANO,"18,756",Rural,Puerto Tejada,"2,010",3,Mayor de 18 años,,Fuerza pública,Herido,Masculino,0.9913888889,-75.0827777778,Accidente por MAP,"(0.9913888889, -75.0827777778)"
NORTE DE SANTANDER,54,SAN CALIXTO,"54,670",Rural,,"2,010",3,Mayor de 18 años,,Fuerza pública,Herido,Masculino,8.438055555555556,-73.23305555555555,Accidente por MAP,"(8.438055555555556, -73.23305555555555)"
ANTIOQUIA,5,SAN ANDRÉS,"5,647",Rural,Vereda El Peñol,"2,010",3,Mayor de 18 años,,Fuerza pública,Muerto,Masculino,6.980833333333333,-75.62638888888888,Accidente por MAP,"(6.980833333333333, -75.62638888888888)"
CASANARE,85,AGUAZUL,"85,010",Rural,Cumaná,"2,010",3,Mayor de 18 años,,Fuerza pública,Herido,Masculino,5.2988888888888885,-72.60666666666667,Accidente por MAP,"(5.2988888888888885, -72.60666666666667)"
HUILA,41,ISNOS,"41,359",Rural,Vereda Palmar,"2,010",3,Mayor de 18 años,,Fuerza pública,Herido,Masculino,1.929816,-76.216388,Accidente por MAP,"(1.929816, -76.216388)"
ARAUCA,81,ARAUQUITA,"81,065",Rural,Vereda Caño Claro,"2,010",3,Mayor de 18 años,,Fuerza pública,Herido,Masculino,6.6274999999999995,-71.24527777777777,Accidente por MAP,"(6.6274999999999995, -71.24527777777777)"
ARAUCA,81,ARAUQUITA,"81,065",Rural,Vereda Caño Claro,"2,010",3,Mayor de 18 años,,Fuerza pública,Herido,Masculino,6.6274999999999995,-71.24527777777777,Accidente por MAP,"(6.6274999999999995, -71.24527777777777)"
CAQUETA,18,PUERTO RICO,"18,592",Rural,Vereda El Retorno,"2,010",3,Mayor de 18 años,,Fuerza pública,Herido,Masculino,2.1016666666666666,-75.035,Accidente por MAP,"(2.1016666666666666, -75.035)"
CAQUETA,18,FLORENCIA,"18,001",Rural,Vereda Remolinos Orteguaza,"2,010",3,Mayor de 18 años,,Fuerza pública,Herido,Masculino,1.968888888888889,-75.48611111111111,Accidente por MAP,"(1.968888888888889, -75.48611111111111)"
ANTIOQUIA,5,MEDELLÍN,"5,001",Rural,Vereda El Respaldo,"2,010",3,Mayor de 18 años,,Fuerza pública,Herido,Masculino,6.229209,-75.564887,Accidente por MAP,"(6.229209, -75.564887)"
NARIÑO,52,SAMANIEGO,"52,678",Rural,La Conga,"2,010",3,Mayor de 18 años,,Fuerza pública,Herido,Masculino,1.5769444444444445,-77.81277777777778,Accidente por MAP,"(1.5769444444444445, -77.81277777777778)"
ARAUCA,81,TAME,"81,794",Rural,La Siberia,"2,010",3,Mayor de 18 años,,Fuerza pública,Muerto,Masculino,6.459722222222222,-71.3625,Accidente por MAP,"(6.459722222222222, -71.3625)"
ARAUCA,81,TAME,"81,794",Rural,La Siberia,"2,010",3,Mayor de 18 años,,Fuerza pública,Herido,Masculino,6.459722222222222,-71.3625,Accidente por MAP,"(6.459722222222222, -71.3625)"
ANTIOQUIA,5,GRANADA,"5,313",Rural,Vereda La Línda,"2,004",11,Mayor de 18 años,,Fuerza pública,Herido,Masculino,6.111667,-75.095833,Accidente por MAP,"(6.111667, -75.095833)"
HUILA,41,COLOMBIA,"41,206",Rural,Vereda El Playón,"2,009",3,Mayor de 18 años,,Civil,Herido,Masculino,3.375361,-74.802161,Accidente por MAP,"(3.375361, -74.802161)"
NORTE DE SANTANDER,54,EL TARRA,"54,250",Rural,,"2,008",10,Mayor de 18 años,,Civil,Herido,Masculino,8.58341,-73.0921120209,Accidente por MAP,"(8.58341, -73.0921120209)"
META,50,PUERTO RICO,"50,590",Rural,,"2,006",3,Mayor de 18 años,,Civil,Herido,Masculino,2.939542,-73.207891,Accidente por MAP,"(2.939542, -73.207891)"
CAUCA,19,BALBOA,"19,075",Rural,,"2,006",9,Mayor de 18 años,,Civil,Herido,Masculino,2.039527,-77.217142,Accidente por MAP,"(2.039527, -77.217142)"
CAUCA,19,BALBOA,"19,075",Rural,,"2,006",9,Mayor de 18 años,,Civil,Herido,Masculino,2.039527,-77.217142,Accidente por MAP,"(2.039527, -77.217142)"
BOLIVAR,13,SANTA ROSA DEL SUR,"13,688",Rural,Vereda El Golfo,"2,010",2,Menor de 18 años,,Civil,Herido,Masculino,7.963275,-74.051674,Accidente por MAP,"(7.963275, -74.051674)"
META,50,URIBE,"50,370",Rural,Vereda Candilejas,"2,009",5,Mayor de 18 años,,Fuerza pública,Herido,Masculino,3.0508333333333333,-74.44111111111111,Accidente por MAP,"(3.0508333333333333, -74.44111111111111)"
NARIÑO,52,SANTA CRUZ,"52,699",Rural,,"2,008",5,Mayor de 18 años,Indigena,Civil,Muerto,Masculino,1.22182,-77.677265,Accidente por MAP,"(1.22182, -77.677265)"
NARIÑO,52,SAMANIEGO,"52,678",Rural,,"2,007",2,Menor de 18 años,,Civil,Herido,Masculino,1.337083,-77.59313,Accidente por MAP,"(1.337083, -77.59313)"
NARIÑO,52,SAMANIEGO,"52,678",Rural,,"2,006",11,Mayor de 18 años,,Civil,Herido,Masculino,1.337083,-77.59313,Accidente por MAP,"(1.337083, -77.59313)"
ARAUCA,81,TAME,"81,794",Rural,Vereda Algarrobo,"2,009",1,Mayor de 18 años,,Civil,Muerto,Masculino,6.461209,-71.730855,Accidente por MAP,"(6.461209, -71.730855)"
ARAUCA,81,TAME,"81,794",Rural,Vereda Algarrobo,"2,009",1,Mayor de 18 años,,Civil,Herido,Masculino,6.461209,-71.730855,Accidente por MAP,"(6.461209, -71.730855)"
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,,"2,009",9,Mayor de 18 años,,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)"
PUTUMAYO,86,VALLE DEL GUAMUEZ,"86,865",Rural,Vereda El Tigre,"2,008",8,Mayor de 18 años,,Civil,Muerto,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)"
PUTUMAYO,86,VALLE DEL GUAMUEZ,"86,865",Rural,Vereda El Tigre,"2,008",8,Mayor de 18 años,,Civil,Herido,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)"
